,Platform,Type_Sales,Sales
0,2600,NA_Sales,90.6
1,NES,NA_Sales,125.94
2,SNES,NA_Sales,61.23
3,GB,NA_Sales,114.32
4,PS,NA_Sales,336.51
5,N64,NA_Sales,139.02
6,GBA,NA_Sales,187.54
7,GC,NA_Sales,133.46
8,XB,NA_Sales,186.69
9,PS2,NA_Sales,583.84
10,DS,NA_Sales,390.71
11,PSP,NA_Sales,108.99
12,PC,NA_Sales,93.28
13,Wii,NA_Sales,507.71
14,X360,NA_Sales,601.05
15,PS3,NA_Sales,392.26
16,3DS,NA_Sales,78.87
17,WiiU,NA_Sales,38.32
18,PSV,NA_Sales,16.2
19,XOne,NA_Sales,83.19
20,PS4,NA_Sales,96.8
0,2600,EU_Sales,5.47
1,NES,EU_Sales,21.15
2,SNES,EU_Sales,19.04
3,GB,EU_Sales,47.82
4,PS,EU_Sales,213.6
5,N64,EU_Sales,41.06
6,GBA,EU_Sales,75.25
7,GC,EU_Sales,38.71
8,XB,EU_Sales,60.95
9,PS2,EU_Sales,339.29
10,DS,EU_Sales,194.65
11,PSP,EU_Sales,68.25
12,PC,EU_Sales,139.68
13,Wii,EU_Sales,268.38
14,X360,EU_Sales,280.58
15,PS3,EU_Sales,343.71
16,3DS,EU_Sales,58.52
17,WiiU,EU_Sales,24.23
18,PSV,EU_Sales,16.330000000000002
19,XOne,EU_Sales,45.65
20,PS4,EU_Sales,123.7
0,2600,JP_Sales,0.0
1,NES,JP_Sales,98.65
2,SNES,JP_Sales,116.55
3,GB,JP_Sales,85.12
4,PS,JP_Sales,139.82
5,N64,JP_Sales,34.22
6,GBA,JP_Sales,47.33
7,GC,JP_Sales,21.580000000000002
8,XB,JP_Sales,1.3800000000000001
9,PS2,JP_Sales,139.2
10,DS,JP_Sales,175.57
11,PSP,JP_Sales,76.79
12,PC,JP_Sales,0.16999999999999998
13,Wii,JP_Sales,69.35000000000001
14,X360,JP_Sales,12.43
15,PS3,JP_Sales,79.99
16,3DS,JP_Sales,97.35
17,WiiU,JP_Sales,12.790000000000001
18,PSV,JP_Sales,20.96
19,XOne,JP_Sales,0.34
20,PS4,JP_Sales,14.3
0,2600,Other_Sales,0.91
1,NES,Other_Sales,5.31
2,SNES,Other_Sales,3.22
3,GB,Other_Sales,8.2
4,PS,Other_Sales,40.910000000000004
5,N64,Other_Sales,4.38
6,GBA,Other_Sales,7.73
7,GC,Other_Sales,5.18
8,XB,Other_Sales,8.72
9,PS2,Other_Sales,193.44
10,DS,Other_Sales,60.53
11,PSP,Other_Sales,42.19
12,PC,Other_Sales,24.86
13,Wii,Other_Sales,80.61
14,X360,Other_Sales,85.54
15,PS3,Other_Sales,141.93
16,3DS,Other_Sales,12.63
17,WiiU,Other_Sales,6.45
18,PSV,Other_Sales,8.45
19,XOne,Other_Sales,11.92
20,PS4,Other_Sales,43.36
0,2600,Global_Sales,97.08
1,NES,Global_Sales,251.07
2,SNES,Global_Sales,200.05
3,GB,Global_Sales,255.45000000000002
4,PS,Global_Sales,730.66
5,N64,Global_Sales,218.88
6,GBA,Global_Sales,318.5
7,GC,Global_Sales,199.36
8,XB,Global_Sales,258.26
9,PS2,Global_Sales,1255.64
10,DS,Global_Sales,822.49
11,PSP,Global_Sales,296.28000000000003
12,PC,Global_Sales,258.82
13,Wii,Global_Sales,926.71
14,X360,Global_Sales,979.96
15,PS3,Global_Sales,957.84
16,3DS,Global_Sales,247.46
17,WiiU,Global_Sales,81.86
18,PSV,Global_Sales,61.93
19,XOne,Global_Sales,141.06
20,PS4,Global_Sales,278.1
