,Platform,Year,Global_Sales,Year_mean
0,2600,1980.0,11.379999999999999,1982.1379310344828
1,2600,1981.0,35.77,1982.1379310344828
2,2600,1982.0,28.86,1982.1379310344828
3,2600,1983.0,5.83,1982.1379310344828
4,NES,1983.0,10.96,1987.1530612244899
5,2600,1984.0,0.27,1982.1379310344828
6,NES,1984.0,50.089999999999996,1987.1530612244899
7,PC,1985.0,0.03,2008.7730646871687
8,NES,1985.0,53.440000000000005,1987.1530612244899
9,DS,1985.0,0.02,2008.2011251758088
10,2600,1985.0,0.45,1982.1379310344828
11,NES,1986.0,36.41,1987.1530612244899
12,2600,1986.0,0.6599999999999999,1982.1379310344828
13,2600,1987.0,1.98,1982.1379310344828
14,NES,1987.0,19.759999999999998,1987.1530612244899
15,2600,1988.0,0.75,1982.1379310344828
16,GB,1988.0,1.43,1995.958762886598
17,PC,1988.0,0.03,2008.7730646871687
18,NES,1988.0,45.01,1987.1530612244899
19,GB,1989.0,64.98,1995.958762886598
20,NES,1989.0,7.85,1987.1530612244899
21,2600,1989.0,0.62,1982.1379310344828
22,GB,1990.0,4.89,1995.958762886598
23,NES,1990.0,15.74,1987.1530612244899
24,SNES,1990.0,26.16,1993.8451882845188
25,GB,1991.0,5.57,1995.958762886598
26,NES,1991.0,6.11,1987.1530612244899
27,SNES,1991.0,16.21,1993.8451882845188
28,NES,1992.0,1.9800000000000002,1987.1530612244899
29,SNES,1992.0,32.98,1993.8451882845188
30,PC,1992.0,3.02,2008.7730646871687
31,GB,1992.0,25.48,1995.958762886598
32,NES,1993.0,3.61,1987.1530612244899
33,SNES,1993.0,40.01,1993.8451882845188
34,PC,1994.0,12.85,2008.7730646871687
35,NES,1994.0,0.11,1987.1530612244899
36,PS,1994.0,6.0200000000000005,1998.0042052144659
37,SNES,1994.0,35.08,1993.8451882845188
38,GB,1994.0,12.17,1995.958762886598
39,GB,1995.0,3.5999999999999996,1995.958762886598
40,PC,1995.0,4.2299999999999995,2008.7730646871687
41,PS,1995.0,35.92,1998.0042052144659
42,SNES,1995.0,32.21,1993.8451882845188
43,PC,1996.0,10.59,2008.7730646871687
44,SNES,1996.0,15.93,1993.8451882845188
45,N64,1996.0,34.11,1998.5316455696202
46,PS,1996.0,94.68,1998.0042052144659
47,GB,1996.0,36.02,1995.958762886598
48,SNES,1997.0,0.99,1993.8451882845188
49,PC,1997.0,11.26,2008.7730646871687
50,PS,1997.0,136.08,1998.0042052144659
51,GB,1997.0,6.37,1995.958762886598
52,N64,1997.0,39.51,1998.5316455696202
53,PC,1998.0,3.2800000000000002,2008.7730646871687
54,GB,1998.0,26.900000000000002,1995.958762886598
55,N64,1998.0,49.28,1998.5316455696202
56,PS,1998.0,169.58,1998.0042052144659
57,SNES,1998.0,0.22000000000000003,1993.8451882845188
58,N64,1999.0,57.96,1998.5316455696202
59,PS,1999.0,144.57,1998.0042052144659
60,SNES,1999.0,0.26,1993.8451882845188
61,GB,1999.0,38.01,1995.958762886598
62,PC,1999.0,4.75,2008.7730646871687
63,PC,2000.0,4.680000000000001,2008.7730646871687
64,XB,2000.0,0.99,2003.6363636363637
65,N64,2000.0,34.01,1998.5316455696202
66,PS,2000.0,96.28,1998.0042052144659
67,PS2,2000.0,39.11,2004.5839210155148
68,GBA,2000.0,0.06,2003.2108508014796
69,GB,2000.0,19.76,1995.958762886598
70,PS2,2001.0,166.43,2004.5839210155148
71,GB,2001.0,9.24,1995.958762886598
72,GBA,2001.0,61.62,2003.2108508014796
73,GC,2001.0,26.3,2003.40036900369
74,PS,2001.0,35.52,1998.0042052144659
75,N64,2001.0,3.26,1998.5316455696202
76,XB,2001.0,22.24,2003.6363636363637
77,PC,2001.0,5.510000000000001,2008.7730646871687
78,XB,2002.0,48.15,2003.6363636363637
79,GC,2002.0,51.93,2003.40036900369
80,PC,2002.0,8.6,2008.7730646871687
81,PS,2002.0,6.6899999999999995,1998.0042052144659
82,GBA,2002.0,74.38,2003.2108508014796
